foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,11,False,,0.3643,-0.143,0.3857,0.1431,0.2803,0.0063,11.7387
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,12,False,,0.3631,-0.1458,0.3869,0.1458,0.2803,0.0063,11.7385
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,13,False,,0.3661,-0.1381,0.3839,0.1382,0.2803,0.0063,11.7383
0.8,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,14,False,,0.3694,-0.1289,0.3806,0.1293,0.2803,0.0063,11.7382
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.5032,-0.0377,0.4968,0.0377,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.5046,-0.0003,0.4954,0.0128,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.5046,-0.0043,0.4954,0.0128,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.5045,-0.0078,0.4955,0.0134,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.5046,0.0053,0.4954,0.0138,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.5045,0.0104,0.4955,0.0156,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.5045,0.0109,0.4955,0.0158,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.5045,-0.0083,0.4955,0.0135,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.5037,-0.0303,0.4963,0.0303,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.5046,0.0035,0.4954,0.0134,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.5046,0.003,0.4954,0.0133,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.5041,-0.0225,0.4959,0.0227,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.504,-0.0239,0.496,0.024,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.5045,-0.0114,0.4955,0.0147,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.5046,-0.0017,0.4954,0.0127,0.2862,0.0065,15.1368
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.5737,0.3204,0.9263,0.322,0.2974,0.0062,19.7117
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.5524,0.3559,0.9476,0.3559,0.2974,0.0062,19.7121
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.5573,0.348,0.9427,0.3481,0.2974,0.0062,19.7114
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.5609,0.3423,0.9391,0.3426,0.2974,0.0062,19.7118
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.5442,0.3683,0.9558,0.3683,0.2974,0.0062,19.7115
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.5421,0.3713,0.9579,0.3713,0.2974,0.0062,19.7115
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.5458,0.3659,0.9542,0.3659,0.2974,0.0062,19.712
